명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
청포대하와이펜션,041-675-5858,충청남도 태안군 남면 청포대길 29,청포대 하와이펜션은 바다가 한눈에 보이는 고급 펜션이다. 청포대해수욕장까지는 100m 거리이며 주변의 울창한 송림과 모래밭/ 몽산포와 이어지는 넓은 백사장은 주위가 무척 편안하다는 느낌을 받는 곳이다. 객실에 들어서면 주인의 정성이 곳곳에 묻어나고 각각의 테마로 세련되게 인테리어 된 객실은 특별한 추억을 위한 공간이다. 연인/ 가족/ 친구/ 단체 모두에게 좋은 여행이 될 수 있도록 여러 타입의 객실이 준비되어 있다.,2층,198명,28실,커플룸/ 가족룸/ 단체룸,주차 가능(승용차 50대/버스 5대),가능,14:30,11:00,041-675-5858,nan,가능(사전문의),실내외 바베큐장
제주캐슬펜션,010-9990-6780,제주특별자치도 서귀포시 태평로92번길 36,제주캐슬펜션은 제주도 서귀포에서도 해안절경이 뛰어난 돔베낭골 해안절벽 가까이 위치하고 있으며 모든 객실에서 누워서도 바다와 섬을 볼 수 있다. 깨끗함과 포근함을 두루 갖춘 콘도형 펜션이다. 객실마다 모든 시설과 부대시설이 잘 갖추어져 있다.,3층,nan,7실,디럭스/ 패밀리 스위트,주차가능,가능,15:00,11:00,nan,nan,nan,무인카페/ 바베큐장
망치몽돌펜션,055-681-3151,경상남도 거제시 일운면 망치1길 14-1,망치몽돌펜션은 깨끗하기로 소문난 바다/ 외도에 위치해 있다. 반짝반짝 빛나는 조용한 바닷가/ 오밀조밀 해안선을 따라가다 보면 나온다. 남국의 빛 푸른 바다 풍경이 가득 펼쳐지는 창과 테라스가 있다. 망치몽돌펜션은 거제도의 풍경을 창마다 담고 있으며/ 여행 중에 조용하고 편리하게 쉴 수 있는 공간이다.,nan,nan,21실,망치동(11평/ 12평/ 24평)/ 외도동(8평/ 16평)/ 윤돌동(8평),nan,가능,14:30,11:30,055-681-3151,nan,nan,nan
보노펜션,010-9015-5209,강원특별자치도 양양군 손양면 선사유적로 240-29,펜션 보노는 동호리해수욕장 내에 위치한 가족형 펜션으로 바로 앞에는 넓은 백사장과 넘실대는 파도가 펼쳐지고/ 진한 솔향은 펜션 주위에 가득하다. 이 해수욕장은 사람들로 북적대는 다른 해수욕장과는 달리 휴식과 여유를 즐기기에 부족함이 없는 가족형 휴양공간이다.,nan,nan,6실,원룸형/ 객실분리형,nan,가능,15:00,11:00,010-9015-5209,nan,가능(사전문의),바비큐장
신영펜션,033-435-8666,강원특별자치도 홍천군 서면 한치골길 75-12,신영펜션은 강원도 홍천군 서면에 있는 ‘대명 비발디파크’ 내에 있어 봄부터 겨울까지 사계절 동안 비발디파크의 시설을 편리하게 이용할 수 있다. 콘도 스타일의 고급 펜션으로  100여 명을 한꺼번에 수용할 수 있다. 골프/ 래프팅/ 족구/ 테니스/ 서아비벌 게임/ 오프로드 Car/  볼링 등을 즐길 수 있으며/ 특히 겨울에는 스키/ 보드/ 눈썰매 등을 즐길 수 있는 이름 그대로의 사계절 휴식 공간이다. 근처에는 팔봉산/ 홍천강/ 소리산 계곡 등이 있으며/ 참숯을 구워낸 가마에서 찜질을 할 수 있다.,300평/ 본관 2층/별님동 3층,nan,15실,2인실/ 4인실/ 6인실/ 10인실/ 20인실,주차 가능,가능,15:00,11:00,033-435-8666,nan,nan,바비큐장
럭셔리관광호텔(오산),031-378-8013~5,경기도 오산시 경기대로 231,럭셔리관광호텔은 수많은 국내외 방문객이 이용하는 오산의 대표적인 호텔이다. 품위 있는 초현대식 시설과 최고 수준의 서비스를 실현함으로써 최상의 만족을 주며/ 이용하는 모든 고객들이 편안하고 아늑하게 지낼 수 있도록 세심한 곳까지 정성을 다한다.,10층,nan,50실,디럭스/ 그랜드/ 프라임/ 슈페리얼/ 플라자/ 팔러/ 트윈베드,주차 가능,불가,15:00,12:00,031-378-8013~5,nan,nan,레스토랑
창앤영펜션,053-614-3108,대구광역시 달성군 유가읍 휴양림길 532,창앤영펜션은 비슬산 자락 양지 바른 곳에 위치한 숙박업소이다. 상성폭포에서 내려오는 개울물이 흘러가는 배산임수 명당으로/ 자연을 사랑하는 노부부가 손수 가꾸는 시설이 돋보이는 곳이다. 소음으로부터 방해 받지 않고 조용하게 쉬어갈 수 있으며/ 아름다운 해돋이와 노을을 볼 수 있는 곳이다. 예약은 전화 및 홈페이지에서 가능하며/ 자세한 사항은 홈페이지에서 확인이 가능하다. 인근 관광지로 비슬산 자연휴양림/ 비슬산 사효자굴/ 쌍성폭포 등이 있다.,nan,60명,희망 / 햇살 / 푸른 / 비슬산 : 각 1실(총 4실),10평형/ 25평형,있음,가능,14:00,11:00,인터넷 (http://www.dgvill.com/sub/sub04.php) 혹은 유/무선선전화,"<a href=""http://www.dgvill.com"" target=""_blank"" title=""새창 : 창앤영펜션 홈페이지로 이동"">http://www.dgvill.com</a>",불가,nan
춘천세종호텔,033-252-1191~6,강원특별자치도 춘천시 봉의산길 31,"춘천시 봉의동에 위치한 춘천세종관광호텔은 1등급의 호텔로 지하 1층/ 지상 3층의 별관 2개 동을 갖춘 숙박 시설이다. 춘천역에서 차로 5분/ 춘천버스터미널에서 8분 정도의 거리에 위치하고 있다. 안락하고 편안한 객실 63실을 보유하고 있으며 부대시설로 한식당 및 양식당/ 커피숍 등이 마련되어 있다. 
춘천세종관광호텔이 자랑하는 한·양식당 ‘오크룸’은 엄선된 식자재로 특급 주방장이 다양한 메뉴를 선보인다. 격조 높은 실내 분위기와 친절하고 세련된 서비스로 고객 여러분께 최대의 만족을 선사한다. 소규모 회의를 비롯해 각종 세미나/ 심포지엄/ 대규모 행사에 이르기까지 모임의 성격과 특징에 따라 언제나 편리하게 이용할 수 있는 연회시설도 마련되어 있다. 각 연회장에는 음향/ 조명 및 영사시설 등 최첨단의 장비가 갖추어져 있어 고객의 중요한 행사를 성공으로 이끌어준다.
춘천 중심가의 봉의산에 자리한 춘천세종관광호텔은 정원이 잘 가꾸어진 내 집 같은 안락함이 있는 호텔이다. 조용하고 아늑한 분위기가 흐르는 정원이 아름다운 춘천세종관광호텔에서 휴양지의 편안함을 느껴보길 바란다.",지상 3층/ 지하 1층/ 별관 3동,126명,63실,더블/ 스탠다드/ 패밀리/ 디럭스,주차 가능,불가,16:00,12:00,033-252-1191~6,nan,nan,오크룸(한·양식당&카페)
부산관광호텔,051-241-4301,부산광역시 중구 광복로97번길 23(동광동2가),"부산관광호텔은 지난 1974년 9월 11일 개관하여 40년이 넘는 시간 동안 부산을 찾는 분들 및 지역 상공인을 위한 호텔로 성장해 왔다.
용두산공원 아래에 위치하고 있으며 국제여객부두/ 국제시장/ 자갈치시장을 사이에 두고 있다. 무역의 중심/ 영화의 도시 부산으로 비즈니스와 여행을 위해 찾는 분들에게 합리적인 가격과 함께 친절한 서비스로 편안함을 준다.",지상 15층/지하 2층,550명,275실,스탠다드/ 슈페리어/ 스위트,주차가능(100대 이상),불가,14:00,11:00,051-241-4301,"<a href=""http://www.busanhotel.kr/"" target=""_blank"" title=""새창 : 부산관광호텔 홈페이지로 이동"">http://www.busanhotel.kr/</a>",nan,로비라운지(조식당)
덕구온천리조트 호텔,054-782-0677,경상북도 울진군 북면 덕구온천로 924,덕구온천리조트 호텔은 행정자치부가 인정한 ‘경상북도 1호/ 국민보양온천’이며/ 태백산맥 동쪽/ 경북 울진군 북면 덕구리에 위치한 응봉산 중턱 4/000여 평의 수려한 자연경관과 어우러져 있는/ 국내 단 한 곳 밖에 없는 자연용출온천이다. 국내 최고의 수질을 자랑하는 42.4℃의 약 알칼리 성분을 함유하고 있으며 특히 신경통/ 관절염/ 근육통/ 피부질환/ 당뇨병 등 성인병에 뛰어난 효과가 있다. 자연용출온천수가 자연으로 뿜어져 나오는 원탕의 광경과 기암괴석 맑은 계곡물 등 천하절경의 아름다운 협곡으로 이루어져 찾는 분의 탄성을 자아내는 곳이기도 하다. 최고의 가치와 품위를 지켜드리며 최상의 서비스로 최선을 다해 고객 여러분을 모실 것을 약속한다.,지하 2층 ~ 지상 4층,nan,100실,호텔 : 스탠다드/ 스위트/ 테라스<br>콘도 : 스탠다드/ 스위트/ 패밀리,주차 가능,불가,15:00,11:00,054-782-0677,nan,nan,한식당
서귀포KAL호텔,064-733-2001,제주특별자치도 서귀포시 칠십리로 242,바닷가에 위치한 서귀포칼호텔은 앞으로는 그림처럼  섬들과 넓은 바다 그리고 뒤로는 병풍처럼 한라산이 보이는 곳에 위치한 리조트풍의 호텔로서 서귀포를 방문하는 모든 분들이 가장 편리하게 이용할 수 있다. 제주시와 공항으로부터 50분/ 서귀포 시내로부터 10분/ 그리고 오사카에서는 약 1시간 반/ 도쿄에서는 약 3시간 거리에 위치하고 있다. 수려한 자연의 신비와 남국의 꿈과 낭만을 담은 서귀포칼호텔은 지하 2층/ 지상 9층의 규모로 남태평양이 한눈에 바라다 보이는 씨 사이드와 한라산 전망이 아름답게 펼쳐진 마운틴 타입까지 전통양식의 온돌방과 침대방/ 스위트룸 등의 객실을 갖추고 있다. 각종 국제회의시설의 대연회장부터 가족 연회실에 이르기까지 행사장으로 마련된 대·중·소 연회실에서는 사회단체와 직장의 기념회를 비롯하여 결혼식/ 약혼식/ 회갑연이 가능하고 남태평양이 바라다 보이는 레스토랑/ 로비라운지/ 피트니스센터(사우나/ 헬스/ 실내수영장)/ 산책로 등을 갖춘 패밀리 리조트 호텔이다.,지상 9층/지하 2층,522명,225실,스탠다드/ 디럭스/ 스위트,주차가능(200대),불가,15:00,12:00,064-733-2001,nan,nan,살레(레스토랑)/ 로비라운지/ 허니문하우스(카페)/ 델리(베이커리)/ 한라정(한식당)
제주 펄 관광호텔,064-742-8871,제주특별자치도 제주시 신대로20길 49(연동),제주 국제공항에서 택시로 5분 거리에 위치한 제주 펄 관광호텔은 각종 부대시설을 갖춘 새로운 스타일의 관광호텔로서 신혼여행 및 가족 관광길에 만날 수 있는 최적의 호텔이다.,지상 5층/ 지하 2층,176명,88실,싱글룸/ 더블룸/ 트윈룸/ 트리플룸/ 패밀리룸(온돌룸)/ 쿼드룸,주차 가능,불가,14:00,11:00,064-742-8871,nan,nan,레스토랑(한/중/양 식  조식 뷔페)
김천파크 관광호텔,054-437-8000,경상북도 김천시 대항면 황학동길 35-23,황악산 기슭/ 직지사 입구에 위치한 김천파크 관광호텔은 아름다운 직지문화공원에 둘러싸인 청정지역으로 물과 공기가 전국에서 가장 맑은 곳이다. 싱그러운 자연 속에서 고객들을 최고의 서비스로 모시며 온라인 예약으로 더욱 편리하게 이용할 수 있다. 또한 소규모의 하우스 웨딩부터 대단위의 하객을 모시는 웨딩까지 호텔의 명성에 맞는 품격 있고 아름다운 웨딩을 준비해 준다. 미팅이나 이벤트의 목적에 따라 다양한 세팅의 연출이 가능한 연회장과 뷔페식당은 최고의 만족과 소중한 기억을 선사한다.,지상 4층/지하 1층,94명,47실,한실/ 양실/ 스위트룸,주차가능(약 200대),불가,14:00,12:00,054-437-8000,nan,nan,레스토랑
휘닉스 평창호텔,033-330-6001,강원특별자치도 평창군 봉평면 태기로 174,"해발 700m의 쾌적한 자연 속에 자리 잡은 휘닉스 평창 더호텔은 국내 최대 규모의 미래형 산악 휴양도시로서 서울에서 2시간 거리에 위치한 종합 리조트 타운이다. 21개의 스키 슬로프와 500m 넓이의 스키베이스를 자랑하는 휘닉스 평창은 정상에서 모든 슬로프를 즐길 수 있는 키(KEY) 리프트 시스템을 도입해 스키어들에게 다양한 재미를 제공하고 있다. 특히 스키장 정상인 ‘몽블랑’에서 스키베이스까지 연결되는 길이 2.4km의 초·중·급 슬로프 ‘파노라마’와 05/06 시즌에 신설된 두 번째 정상 ‘불새마루’는 스키어와 스노보더들이 가장 타고 싶어 하는 슬로프로 꼽힐 정도로 많은 사랑을 받고 있다.
휘닉스 평창 더호텔은 141개의 객실을 갖추고 있다. 레저와 비즈니스를 동시에 할 수 있는 본격적인 리조트형 호텔로서 세미나와 워크숍이 가능한 최첨단 AV시스템과 연수시설을 구비하고 있다. 또한 아시아 5개국이 참가하는 아시아 개발포럼이 개최되기도 했다.
호텔 내의 부대시설로는 연회장/ JDI스포츠센터/ 수영장/ 사우나/ 볼링센터/ 노래방/ 게임랜드/ 키즈블루/ PC방/ 당구장/ 테라피 쇼핑시설/ 스키 대여소/ 웨딩홀 등이 마련되어 있다.",지상 11층/ 지하 1층,nan,141실,수페리어 더블/발코니/트윈/트윈(S)/ 스위트,주차가능,불가,15:00,11:00,033-330-6001,nan,nan,온도 레스토랑/ 와인 마리아주/ 테이스티 투고
가보호텔,0507-1396-7702,경기도 평택시 평택5로76번길 18-10,가보호텔은 호텔 전관 및 전 객실에 초고속 인터넷 망과 케이블 TV설치가 구축되어 있으며 룸 서비스/ 국제자동전화/ 세탁서비스/  미니바 서비스 완비/ 비즈니스 고객을 위한 공항 PICKUP 및 SENDING  각종 예약 및 안내서비스 (항공/ 호텔/ 관광지/ 콘도/ 골프/ 레저 등)이 가능하다. 호텔 주변 입지로는 대형쇼핑센터/ 할인점/ 스파비스/ 사우나  각종 위락시설이 있다.,지상 10층/지하 3층,nan,123실,스탠다드/ 디럭스/ 스위트,주차가능(70대),불가,14:00,12:00,0507-1396-7702,nan,nan,레스토랑/ 커피숍
스타즈 호텔 제주 로베로(구 로베로호텔),064-757-7111,제주특별자치도 제주시 관덕로 26,"제주의 자연과 생활을 한눈에 경험할 수 있는 스타즈 호텔 제주 로베로는 내 집 같은 편안한 서비스로 고객에게 최고의 가치를 선사한다. 객실은 커튼을 젖히면 푸른빛 바다가 살며시 내려와 앉는 쾌적한 공간의 실내 분위기로 다양한 최신 설비를 갖추고 있으며/ 고객을 한 번 더 생각하는 서비스를 통해 편안하게 머무를 수 있도록 모든 편의를 제공하고 있다.
이태리식 정통 디자인으로 연출된 최고의 분위기로 연회문화를 선도하는 대연회장은 각종 세미나/ 회갑/ 결혼 등 다양한 모임을 한결 격조 높은 분위기로 이끌어준다.
스타즈 호텔 제주 로베로의 사우나는 완벽하게 조화시킨 휴식공간과 함께 지하에서 분출되는 천연의 생수로 피로에 지친 하루를 상쾌하게 풀어준다. 또 이용실&마사지에서는 여행에서 쌓인 피로를 마사지로 말끔히 씻어낼 수 있는 최고의 건강휴식처이다. 이처럼 편안한 여행의 즐거움을 마음껏 만끽하고 삶의 여유와 넉넉함을 즐기며 추억으로 간직할 소중한 시간을 만들 수 있는 격조 높은 휴식처가 될 수 있도록 스타즈 호텔 제주 로베로는 항상 정성이 깃든 최고의 서비스를 제공하고 있다.","대지 516평<br/>
건물 316평/ 지하 3층~지상 8층",250명,121실,스탠다드/ 디럭스/ 트리플/ 쿼드러플/ 프레지던트 스위트/ 패밀리/ 패밀리 스위트,주차 가능,불가,15:00,11:00,064-757-7111,"<a href=""http://www.stazhoteljejurobero.com"" target=""_blank"" title=""새창 : 스타즈 호텔 제주 로베로 홈페이지로 이동"">http://www.stazhoteljejurobero.com</a>",nan,카페성지/ 그로서리(양식)/ Lit Bread(베이커리 및 조식)/ 카카오 패밀리
